Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Fa.BcD.15.DN	MM15	B	cD	Fa	13	N	1	Near	MM	D	15
Fa.BcD.15.SD	MM15	B	cD	Fa	13	D	1	Near	MM	S	5
Fa.BcD.15.SN	MM15	B	cD	Fa	13	N	1	Near	MM	S	5
Fa.ED.MLB.DN	MLB	E	D	Fa	13	N	1	MLB	MLB	D	8
Fa.ED.MLB.SN	MLB	E	D	Fa	13	N	1	MLB	MLB	S	2
Fa.ED.110.DN	MM110	E	D	Fa	13	N	1	Off	MM	D	108
Fa.ED.110.SD	MM110	E	D	Fa	13	D	1	Off	MM	S	5
Fa.ED.110.SN	MM110	E	D	Fa	13	N	1	Off	MM	S	5
Fa.ED.15.DN	MM15	E	D	Fa	13	N	1	Near	MM	D	15
Fa.ED.15.SD	MM15	E	D	Fa	13	D	1	Near	MM	S	5
Fa.ED.15.SN	MM15	E	D	Fa	13	N	1	Near	MM	S	5
Fa.EcD.MLB.DN	MLB	E	cD	Fa	13	N	1	MLB	MLB	D	8
Fa.EcD.MLB.SN	MLB	E	cD	Fa	13	N	2	MLB	MLB	S	2
Fa.EcD.110.DN	MM110	E	cD	Fa	13	N	1	Off	MM	D	108
Fa.EcD.110.SD	MM110	E	cD	Fa	13	D	1	Off	MM	S	5
Fa.EcD.110.SN	MM110	E	cD	Fa	13	N	1	Off	MM	S	5
Fa.EcD.15.DN	MM15	E	cD	Fa	13	N	1	Near	MM	D	15
Fa.EcD.15.SD	MM15	E	cD	Fa	13	D	1	Near	MM	S	5
Fa.EcD.15.SN	MM15	E	cD	Fa	13	N	1	Near	MM	S	5
