Sample	Group_cDvsD	Group_PAvsFL	Station	Fraction	DNA	DNA_short	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Su.ED.110.DCMD	Su.E.110.DCMD	Su.D.110.DCMD	MM110	E	D		Su	13	D	1	Off	MM	M	36
Su.ED.110.SD	Su.E.110.SD	Su.D.110.SD	MM110	E	D		Su	13	D	1	Off	MM	S	5
Su.ED.110.SN	Su.E.110.SN	Su.D.110.SN	MM110	E	D		Su	13	N	1	Off	MM	S	5
Su.ED.15.DN	Su.E.15.DN	Su.D.15.DN	MM15	E	D		Su	13	N	1	Near	MM	D	15
Su.ED.15.SD	Su.E.15.SD	Su.D.15.SD	MM15	E	D		Su	13	D	1	Near	MM	S	5
Su.ED.15.SN	Su.E.15.SN	Su.D.15.SN	MM15	E	D		Su	13	N	1	Near	MM	S	5
Su.EcD.MLB.DD	Su.E.MLB.DD	Su.cD.MLB.DD	MLB	E	cD	c	Su	13	D	1	MLB	MLB	D	8
Su.EcD.MLB.SD	Su.E.MLB.SD	Su.cD.MLB.SD	MLB	E	cD	c	Su	13	D	1	MLB	MLB	S	1
Su.EcD.110.DCMD	Su.E.110.DCMD	Su.cD.110.DCMD	MM110	E	cD	c	Su	13	D	1	Off	MM	M	36
Su.EcD.110.DN	Su.E.110.DN	Su.cD.110.DN	MM110	E	cD	c	Su	13	N	1	Off	MM	D	110
Su.EcD.110.SD	Su.E.110.SD	Su.cD.110.SD	MM110	E	cD	c	Su	13	D	1	Off	MM	S	5
Su.EcD.110.SN	Su.E.110.SN	Su.cD.110.SN	MM110	E	cD	c	Su	13	N	1	Off	MM	S	5
Su.EcD.15.DN	Su.E.15.DN	Su.cD.15.DN	MM15	E	cD	c	Su	13	N	1	Near	MM	D	15
Su.EcD.15.SD	Su.E.15.SD	Su.cD.15.SD	MM15	E	cD	c	Su	13	D	1	Near	MM	S	5
Su.EcD.15.SN	Su.E.15.SN	Su.cD.15.SN	MM15	E	cD	c	Su	13	N	1	Near	MM	S	5
Fa.BD.MLB.DN	Fa.B.MLB.DN	Fa.D.MLB.DN	MLB	B	D		Fa	13	N	1	MLB	MLB	D	8
Fa.BD.MLB.SN	Fa.B.MLB.SN	Fa.D.MLB.SN	MLB	B	D		Fa	13	N	1	MLB	MLB	S	2
Fa.BD.110.DN	Fa.B.110.DN	Fa.D.110.DN	MM110	B	D		Fa	13	N	1	Off	MM	D	108
Fa.BD.110.SD	Fa.B.110.SD	Fa.D.110.SD	MM110	B	D		Fa	13	D	1	Off	MM	S	5
Fa.BD.110.SN	Fa.B.110.SN	Fa.D.110.SN	MM110	B	D		Fa	13	N	1	Off	MM	S	5
Fa.BD.15.DN	Fa.B.15.DN	Fa.D.15.DN	MM15	B	D		Fa	13	N	1	Near	MM	D	15
Fa.BD.15.SD	Fa.B.15.SD	Fa.D.15.SD	MM15	B	D		Fa	13	D	1	Near	MM	S	5
Fa.BD.15.SN	Fa.B.15.SN	Fa.D.15.SN	MM15	B	D		Fa	13	N	1	Near	MM	S	5
Fa.BcD.MLB.DN	Fa.B.MLB.DN	Fa.cD.MLB.DN	MLB	B	cD	c	Fa	13	N	1	MLB	MLB	D	8
Fa.BcD.MLB.SN	Fa.B.MLB.SN	Fa.cD.MLB.SN	MLB	B	cD	c	Fa	13	N	1	MLB	MLB	S	2
Fa.BcD.110.DN	Fa.B.110.DN	Fa.cD.110.DN	MM110	B	cD	c	Fa	13	N	1	Off	MM	D	108
Fa.BcD.110.SD	Fa.B.110.SD	Fa.cD.110.SD	MM110	B	cD	c	Fa	13	D	1	Off	MM	S	5
Fa.BcD.110.SN	Fa.B.110.SN	Fa.cD.110.SN	MM110	B	cD	c	Fa	13	N	1	Off	MM	S	5
Fa.BcD.15.DN	Fa.B.15.DN	Fa.cD.15.DN	MM15	B	cD	c	Fa	13	N	1	Near	MM	D	15
Fa.BcD.15.SD	Fa.B.15.SD	Fa.cD.15.SD	MM15	B	cD	c	Fa	13	D	1	Near	MM	S	5
Fa.BcD.15.SN	Fa.B.15.SN	Fa.cD.15.SN	MM15	B	cD	c	Fa	13	N	1	Near	MM	S	5
Fa.ED.MLB.DN	Fa.E.MLB.DN	Fa.D.MLB.DN	MLB	E	D		Fa	13	N	1	MLB	MLB	D	8
Fa.ED.MLB.SN	Fa.E.MLB.SN	Fa.D.MLB.SN	MLB	E	D		Fa	13	N	1	MLB	MLB	S	2
Fa.ED.110.DN	Fa.E.110.DN	Fa.D.110.DN	MM110	E	D		Fa	13	N	1	Off	MM	D	108
Fa.ED.110.SD	Fa.E.110.SD	Fa.D.110.SD	MM110	E	D		Fa	13	D	1	Off	MM	S	5
Fa.ED.110.SN	Fa.E.110.SN	Fa.D.110.SN	MM110	E	D		Fa	13	N	1	Off	MM	S	5
Fa.ED.15.DN	Fa.E.15.DN	Fa.D.15.DN	MM15	E	D		Fa	13	N	1	Near	MM	D	15
Fa.ED.15.SD	Fa.E.15.SD	Fa.D.15.SD	MM15	E	D		Fa	13	D	1	Near	MM	S	5
Fa.ED.15.SN	Fa.E.15.SN	Fa.D.15.SN	MM15	E	D		Fa	13	N	1	Near	MM	S	5
Fa.EcD.MLB.DN	Fa.E.MLB.DN	Fa.cD.MLB.DN	MLB	E	cD	c	Fa	13	N	1	MLB	MLB	D	8
Fa.EcD.MLB.SN	Fa.E.MLB.SN	Fa.cD.MLB.SN	MLB	E	cD	c	Fa	13	N	2	MLB	MLB	S	2
Fa.EcD.110.DN	Fa.E.110.DN	Fa.cD.110.DN	MM110	E	cD	c	Fa	13	N	1	Off	MM	D	108
Fa.EcD.110.SD	Fa.E.110.SD	Fa.cD.110.SD	MM110	E	cD	c	Fa	13	D	1	Off	MM	S	5
Fa.EcD.110.SN	Fa.E.110.SN	Fa.cD.110.SN	MM110	E	cD	c	Fa	13	N	1	Off	MM	S	5
Fa.EcD.15.DN	Fa.E.15.DN	Fa.cD.15.DN	MM15	E	cD	c	Fa	13	N	1	Near	MM	D	15
Fa.EcD.15.SD	Fa.E.15.SD	Fa.cD.15.SD	MM15	E	cD	c	Fa	13	D	1	Near	MM	S	5
Fa.EcD.15.SN	Fa.E.15.SN	Fa.cD.15.SN	MM15	E	cD	c	Fa	13	N	1	Near	MM	S	5
